Title,Description,Email,Map
City of Enderby,Data provided by Tate Bengtson of the City of Enderby. Water quality of raw well and raw river water from 2015-2017.,,"River (raw water): https://www.google.ca/maps/@50.5492332,-119.1352277,185m/data=!3m1!1e3?hl=en"
,,,"Well: https://www.google.ca/maps/place/487+Enderby+Mabel+Lake+Rd,+Enderby,+BC+V0E+1V4/@50.5549741,-119.058837,162m/data=!3m1!1e3!4m5!3m4!1s0x537e88eadac655bf:0x7475c529c01e9e46!8m2!3d50.556371!4d-119.069687?hl=en"
