Date,Location,LocationID,Parameter,Units,Value
9/22/2015 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
9/22/2015 12:00,Shuswap_Well,SW,E. coli,cfu,<1
10/20/2015 12:00,Shuswap_Well,SW,"Carbon, Total Organic",mg/L,2.1
10/27/2015 12:00,Shuswap_Well,SW,Nitrate as N,mg/L,0.297
10/27/2015 12:00,Shuswap_Well,SW,Nitrite as N,mg/L,<0.010
10/27/2015 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl ",mg/L,0.16
10/27/2015 12:00,Shuswap_Well,SW,Nitrate+Nitrite as N,mg/L,0.297
10/27/2015 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.456
10/27/2015 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
10/27/2015 12:00,Shuswap_Well,SW,E. coli,cfu,<1
11/28/2015 12:00,Shuswap_Well,SW,Nitrate as N,mg/L,0.322
11/28/2015 12:00,Shuswap_Well,SW,Nitrite as N,mg/L,<0.010
11/28/2015 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl",mg/L,<0.05
11/28/2015 12:00,Shuswap_Well,SW,Nitrate+Nitrite as N,mg/L,0.322
11/28/2015 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.322
11/28/2015 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
11/28/2015 12:00,Shuswap_Well,SW,E. coli,cfu,<1
12/8/2015 12:00,Shuswap_Well,SW,"Carbon, Total Organic",mg/L,0.7
12/16/2015 12:00,Shuswap_Well,SW,Nitrate as N,mg/L,0.382
12/16/2015 12:00,Shuswap_Well,SW,Nitrite as N,mg/L,<0.010
12/16/2015 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl",mg/L,0.05
12/16/2015 12:00,Shuswap_Well,SW,Nitrate+Nitrite as N,mg/L,0.382
12/16/2015 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.435
12/16/2015 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
12/16/2015 12:00,Shuswap_Well,SW,E. coli,cfu,<1
1/28/2015 12:00,Shuswap_River,SR,"Coliforms, Total",cfu,64
1/28/2015 12:00,Shuswap_River,SR,E. coli,cfu,1
2/24/2015 12:00,Shuswap_River,SR,"Coliforms, Total",cfu,14
2/24/2015 12:00,Shuswap_River,SR,E. coli,cfu,3
3/24/2015 12:00,Shuswap_River,SR,"Coliforms, Total",cfu,86
3/24/2015 12:00,Shuswap_River,SR,E. coli,cfu,4
3/24/2015 12:00,Shuswap_River,SR,"Carbon, Total Organic",mg/L,3.1
